ReceivedDate,DecisionDate,PlanningAuthority,ApplicationType,Decision,DevelopmentDescription
2021-01-31,2021-08-10,Galway City Council,Outline Permission,Refused,New dwelling with garage
2020-11-10,2020-11-30,Galway City Council,Outline Permission,Granted,New dwelling with garage
2018-03-29,2018-05-16,Galway City Council,Retention,Granted,New dwelling with garage
2018-12-10,2019-07-12,Cork County Council,Retention,Granted,New dwelling with garage
2018-10-04,2019-01-27,Cork County Council,Retention,Granted,New dwelling with garage
2020-05-06,2020-06-16,Galway City Council,Outline Permission,Granted,New dwelling with garage
2022-02-08,2023-03-15,Galway City Council,Retention,Granted,New dwelling with garage
2020-08-15,2020-09-10,Galway City Council,Permission,Granted,New dwelling with garage
2023-01-17,2023-06-02,Dublin City Council,Outline Permission,Granted,New dwelling with garage
2019-08-24,2020-09-27,Cork County Council,Retention,Granted,New dwelling with garage
2019-07-19,2019-08-19,Galway City Council,Outline Permission,Granted,New dwelling with garage
2020-02-15,2020-02-19,Cork County Council,Permission,Granted,New dwelling with garage
2023-03-11,2023-08-26,Cork County Council,Retention,Granted,New dwelling with garage
2022-12-01,2022-12-25,Galway City Council,Retention,Refused,New dwelling with garage
2018-06-11,2018-08-10,Cork County Council,Outline Permission,Withdrawn,New dwelling with garage
2019-04-01,2019-07-11,Dublin City Council,Retention,Granted,New dwelling with garage
2019-12-21,2020-06-03,Galway City Council,Permission,Granted,New dwelling with garage
2018-08-05,2018-09-13,Dublin City Council,Permission,Granted,New dwelling with garage
2023-01-11,2023-01-20,Galway City Council,Permission,Refused,New dwelling with garage
2019-10-10,2019-10-10,Galway City Council,Outline Permission,Refused,New dwelling with garage
2022-08-26,2023-03-01,Galway City Council,Permission,Withdrawn,New dwelling with garage
2020-10-14,2020-10-28,Galway City Council,Permission,Granted,New dwelling with garage
2020-07-18,2020-07-30,Galway City Council,Outline Permission,Granted,New dwelling with garage
2020-03-15,2020-08-18,Cork County Council,Outline Permission,Granted,New dwelling with garage
2022-10-29,2022-11-13,Cork County Council,Outline Permission,Refused,New dwelling with garage
2021-05-26,2021-06-27,Cork County Council,Outline Permission,Granted,New dwelling with garage
2018-07-26,2018-09-30,Cork County Council,Permission,Granted,New dwelling with garage
2020-05-13,2020-09-11,Dublin City Council,Retention,Granted,New dwelling with garage
2018-08-19,2018-10-21,Galway City Council,Permission,Granted,New dwelling with garage
2021-03-29,2021-07-16,Galway City Council,Retention,Refused,New dwelling with garage
2019-11-13,2020-05-29,Dublin City Council,Permission,Refused,New dwelling with garage
2020-11-17,2020-12-16,Cork County Council,Retention,Granted,New dwelling with garage
2022-03-10,2022-03-25,Dublin City Council,Outline Permission,Withdrawn,New dwelling with garage
2021-11-09,2021-12-10,Cork County Council,Permission,Refused,New dwelling with garage
2022-11-04,2022-12-17,Cork County Council,Outline Permission,Granted,New dwelling with garage
2022-08-28,2023-01-16,Cork County Council,Outline Permission,Granted,New dwelling with garage
2022-08-23,2022-11-18,Dublin City Council,Permission,Granted,New dwelling with garage
2019-03-18,2020-04-14,Cork County Council,Outline Permission,Granted,New dwelling with garage
2021-02-10,2021-03-01,Dublin City Council,Outline Permission,Granted,New dwelling with garage
2019-10-04,2019-12-06,Galway City Council,Permission,Granted,New dwelling with garage
2019-01-20,2019-02-21,Cork County Council,Permission,Granted,New dwelling with garage
2022-08-23,2022-11-27,Galway City Council,Outline Permission,Refused,New dwelling with garage
2018-05-03,2018-06-05,Cork County Council,Permission,Granted,New dwelling with garage
2018-07-17,2018-09-16,Galway City Council,Permission,Granted,New dwelling with garage
2018-07-06,2018-07-30,Dublin City Council,Outline Permission,Granted,New dwelling with garage
2020-08-12,2020-09-10,Cork County Council,Outline Permission,Refused,New dwelling with garage
